"","county","total"
"1","Forest",1
"2","Juniata",1
"3","Montour",1
"4","Snyder",1
"5","Huntingdon",2
"6","Pike",2
"7","Tioga",2
"8","Fulton",3
"9","Jefferson",3
"10","Susquehanna",3
"11","Warren",3
"12","Wyoming",3
"13","Clarion",4
"14","Columbia",4
"15","Elk",4
"16","Mifflin",4
"17","Union",4
"18","Wayne",4
"19","Armstrong",5
"20","Clinton",5
"21","Adams",6
"22","Butler",6
"23","Centre",6
"24","Perry",6
"25","Bradford",7
"26","Carbon",7
"27","McKean",7
"28","Venango",7
"29","Clearfield",8
"30","Somerset",8
"31","Greene",10
"32","Bedford",11
"33","Indiana",11
"34","Washington",11
"35","Franklin",13
"36","Lawrence",13
"37","Lebanon",13
"38","Northumberland",13
"39","Crawford",15
"40","Lycoming",16
"41","Mercer",17
"42","Blair",18
"43","Fayette",18
"44","Cambria",19
"45","Lackawanna",19
"46","Schuylkill",21
"47","Chester",22
"48","Monroe",23
"49","Beaver",26
"50","Northampton",27
"51","Cumberland",28
"52","Westmoreland",32
"53","Erie",36
"54","Bucks",38
"55","Berks",42
"56","Montgomery",43
"57","York",44
"58","Lehigh",47
"59","Delaware",49
"60","Lancaster",49
"61","Luzerne",53
"62","Dauphin",58
"63","Allegheny",128
"64","Philadelphia",324
