"","status","county","incident_date","prior_status","narrative","year"
"1","fatality","Philadelphia","Jan. 15, 2011"," Thisfamily was not known to the county agency prior to the incident.","3. A three-year old male child died on Jan. 15, 2011 due to physical injuries. ThePhiladelphia Department of Human Services substantiated the report in February of 2011and named the mother’s paramour as the perpetrator. The child woke up in the middle ofthe night crying and was inconsolable. The mother’s paramour had checked on the childwhen he woke-up and tried to calm him. The child’s mother was asleep during this time.The mother’s paramour became frustrated and started hitting the child repeatedly. Themother’s paramour checked on the child about two hours later and found himunconscious. Emergency responders were contacted and the paramour’s mother, whoalso lives in the home, began CPR. The child was pronounced dead at the hospital. Themedical examiner found a laceration to the child’s liver, caused by the repeated hitting.The laceration caused massive internal bleeding, which caused blood to pool in thechild’s stomach. Numerous other injuries were found, including contusions, abrasionsand other areas of hemorrhaging. The mother’s paramour has a child of his own, who isnow residing with her mother as a result of the incident. This child was medicallyexamined and no concerns were found. There are no other children in the family of thevictim child. The mother’s paramour was charged with murder, involuntarymanslaughter and endangering the welfare of children and is currently incarcerated. Thisfamily was not known to the county agency prior to the incident.","2011"
"2","near fatality","Philadelphia","Feb. 9, 2011",NA,"7. A one-year old male child nearly died on Feb. 9, 2011 due to physical impairment hereceived from a lack of supervision. The Philadelphia Department of Human Servicessubstantiated the report in February of 2011 and named the mother as the perpetrator.The child was found by the mother to be lethargic and emergency responders were5contacted. The medical examination revealed the child ingested morphine. Theinvestigation determined the mother participates in a methadone maintenance programand had left the morphine out, which the child ingested. The mother normally keeps themethadone in a lock-box, but had the methadone out and had not put it back in the lockbox. The child has been discharged from the hospital and is residing with a maternalcousin. There is also an older sibling who is residing with the same cousin due to theincident. There is an ongoing criminal investigation regarding this incident. There hadbeen a prior referral on the family in 2002 regarding improper supervision and mother’sdrug use. The family was assessed for services as a result of the referral and no serviceswere provided.","2011"
"3","near fatality","Philadelphia","Feb. 17, 2011",NA,"8. A fifteen-year old male child nearly died on Feb. 17, 2011 due to serious physicalneglect. The Philadelphia Department of Human Services substantiated the report inMarch of 2011 and named the mother as the perpetrator. The child is wheelchair-bounddue to a spinal cord injury from a gunshot. The child developed an infection and bloodclots and had to be admitted to the hospital. This infection and blood clots were the resultof the child missing medical appointments and not having a filter removed from hisinferior vena cava. The child has since been discharged from the hospital and is residingin a medical facility that will assure his medical needs are met. The child has expressed adesire to not return home. There are siblings in the family who remain in the home. Thecounty agency determined these children were safe to remain in the home as they do nothave medical needs that necessitated county agency involvement. The county agencycontinues to monitor the siblings in the home to assure their safety. There had been aprior referral on the mother for not assuring that the child attended rehabilitation. It wasdetermined the county agency did not take appropriate actions assessing this referral andwere cited for regulatory non-compliance by the Department. The criminal investigationhas concluded and no criminal charges have been filed.","2011"
"4","fatality","Philadelphia","May 15, 2011"," The county agency had been involved with the mother andthe oldest sibling in 2006 due to concerns of the child not being properly cared for or fed.","7. A three-month old male child died on May 15, 2011 due to physical injuries. ThePhiladelphia Department of Human Services substantiated the report in June of 2011 andnamed a maternal uncle, who was caring for the child when the incident occurred at hishouse, as the perpetrator. The uncle found the child unresponsive and called a friend for3 2nd Quarter of 2011April through Juneassistance. Emergency responders were then contacted and the uncle began performingCardio Pulmonary Resuscitation (CPR). Upon arrival at the hospital, it was determinedthe child was suffering from multiple hemorrhaging to his head and needed emergencysurgery. The child died a few hours after arriving at the hospital. Medical evidencerevealed the injuries were inflicted and were not the result of an accident. The injurieswould have occurred while the child was in the care of the uncle. The uncle did disclosethat he had shaken the child. There are two older siblings of the child who are to have nocontact with the uncle. The mother was at work and had the two older siblings with herwhen the incident occurred. The county agency had been involved with the mother andthe oldest sibling in 2006 due to concerns of the child not being properly cared for or fed.The county agency conducted an assessment, but did not offer any services at that time.The uncle has been charged with murder and endangering the welfare of a child and isincarcerated.","2011"
"5","fatality","Philadelphia","June 10, 2011"," The county agency hadbeen involved with the family in 2009 regarding concerns of lack of supervision of one ofthe siblings who was two years of age at the time of that incident.","8. A six-month old female child died on June 10, 2011 due to physical injuries. ThePhiladelphia Department of Human Services substantiated the report in July of 2011 andnamed the father as the perpetrator. As reported by the father, the child was placed onthe couch next to him as he was playing video games. The child began choking andvomiting and the father began CPR. The father reported finding a penny in the child’smouth. The father called the mother, who was not at home at the time, and then calledemergency responders. The father reported that he shook the child to get her to respond.The child was admitted to the hospital on June 6, 2011 when the incident occurred. Thechild had subdural hemorrhaging and was unresponsive. The child was placed on lifesupport and after four days of no brain activity was removed from life support anddeclared deceased. The child also had a healing fractured tibia. Medical evidencedetermined the injuries were of a non-accidental nature and the father’s account of theincident was not consistent with the injuries. There are three older siblings who arecurrently residing with their maternal grandmother due to the incident. The siblingsreceived medical examinations and no concerns were found. The county agency hadbeen involved with the family in 2009 regarding concerns of lack of supervision of one ofthe siblings who was two years of age at the time of that incident. The allegations wereunable to be confirmed and no services were initiated. There is an ongoing criminalinvestigation and the father has been incarcerated for other offenses for which he hadoutstanding warrants.","2011"
"6","fatality","Philadelphia","June 12, 2011",NA,"9. A ten-year old male child died on June 12, 2011 from smoke inhalation due to a lackof supervision. The Philadelphia Department of Human Services substantiated the reportin June of 2011 and named the father as the perpetrator. The child was home alone whilethe father was at a corner bar and a fire broke out in the home. The incident occurred on June 7, 2011. The child was hospitalized at that time and subsequently died at thehospital. It was reported that there had been no electricity in the home and the fire startedfrom candles that were being used for light. There are no siblings of the child residing inthe home. The child has half siblings, who are not children of the father, and who livewith their maternal grandmother. The father and child were not known to the countyagency prior to the incident. There is an ongoing criminal investigation.","2011"
"7","near fatality","Philadelphia","May 27, 2011"," DHS has been involved with the child since his birth due to the childtesting positive for methadone and exhibiting symptoms of withdrawal.","8. A four-month old male child nearly died on May 27, 2011 due to non-accidentalinjuries sustained while in the care of a babysitter. Philadelphia Department of HumanServices (DHS) substantiated the report in June of 2011 for physical abuse against thebabysitter. The child suffered a skull fracture, subdural hematoma, retinal hemorrhage,torn ligaments in his neck, and brain injury due to lack of oxygen to the brain. Medicalpersonnel determined these injuries were sustained as the result of violent inflictedtrauma while in the care of a babysitter who was residing in the same shelter as the childand his mother. DHS has been involved with the child since his birth due to the childtesting positive for methadone and exhibiting symptoms of withdrawal. Upon dischargefrom the hospital, the child returned with his mother to the shelter program. Mother hadsigned a safety plan stating she would not leave the shelter program with the childwithout a shelter staff accompanying them. Additionally, the mother and child werereceiving services from Presbyterian Children’s Village. These services were in place atthe time of the incident. The child is currently residing in foster care, due to the inabilityto find adequate housing for the child and his mother. No criminal charges have beenfiled at this time in relation to the child’s injuries but the police investigation is ongoing.","2011"
"8","near fatality","Philadelphia","May 28, 2011"," DHS had prior involvement with the family.","9. A nine-month old male child nearly died on May 28, 2011 due to drug ingestionresulting from a lack of supervision. Philadelphia Department of Human Services (DHS)substantiated this case in June of 2011 for lack of supervision against the child’s motherand father. The child was left unsupervised and swallowed his father’s suboxonepatches, which were left within the child’s reach in an ashtray on a coffee table. Thechild had stopped breathing and was transported by ambulance to the hospital, where hewas revived. The father’s current whereabouts are unknown. When the child wasdischarged from the hospital, the parents were unable to provide family placementresources for the child. The child was subsequently placed into foster care. The child hassiblings, but they reside out-of-state. The siblings were not in the parents’ care at thetime of the incident. The three siblings had been removed from the mother’s care whenshe lived in New Jersey. The twelve-year old sibling resides with her biological father inFlorida. The three-year old sibling is currently in foster care in New Jersey. The thirdsibling, unknown age, has been adopted. DHS had prior involvement with the family. Ageneral protective services referral regarding mother’s drug abuse was received by DHS in October of 2010. This referral was unsubstantiated after DHS conducted unscheduledhome visits. DHS referred the family for community services. No criminal charges havebeen filed in relation to the child’s injuries.","2011"
"9","fatality","Philadelphia","July 14, 2011","  This family was not known to the county prior to the incident.","4. A four-year old male child died on July 14, 2011 due to physical injuries he receivedthat were the result of lack of supervision. The Philadelphia Department of HumanServices substantiated the report in August of 2011 and named the father as theperpetrator. The child found a loaded gun lying on a table and shot himself in the head.The mother was not at home when the incident occurred and the child was at home withthe father when he sustained the injury. The child has two older siblings, ages 2 years and 1 year. The mother and the siblings were at a friend’s house when the incidentoccurred. The siblings have been placed with the maternal grandmother and a maternalaunt, who share a home, due to concerns that the mother is supportive of the father andhad knowledge of loaded guns being kept unsecured in the home. The mother hadattempted to post bail for the father and does not believe that the father should be heldresponsible. The father has been charged with manslaughter, endangering the welfare ofa child, possession of a prohibited firearm, possession of a fire arm with an alteredmanufacturer’s number, carrying an unlicensed firearm and possessing an instrument ofcrime. The father continues to be incarcerated and a preliminary hearing is scheduled for March of 2012.  This family was not known to the county prior to the incident.","2011"
"10","fatality","Philadelphia","July 24, 2011"," Both parents abuse heroin and are involved in methadone maintenance programs.","5. A one-year old male child died on July 24, 2011 due to ingesting methadone. ThePhiladelphia Department of Human Services substantiated the report in August of 2011and named the parents as the perpetrators. The child was found unresponsive by hisparents and emergency responders were contacted. The child was examined at theemergency room and was found to have bruising to his forehead; however the medicalexamination determined the bruising to be consistent with a non-inflicted, accidentaloccurrence. A later medical examination conducted by the city medical examinerrevealed the child tested positive for methadone intoxication and this caused the child’sdeath. Both parents abuse heroin and are involved in methadone maintenance programs.The mother reported that the child likely ingested the methadone because she became illand vomited methadone into the child’s bottle of milk. During the investigation, thechild’s bottle was examined and it was determined methadone was present in the bottle.However, according to the medical examiner, the child’s methadone levels wereextremely high and the mother’s account is not consistent with these high levels. Theinvestigation by the county agency concluded that one of the parents likely mixedmethadone with the child’s milk and purposely gave it to him. There is an older siblingwho has been living with the maternal grandmother since January of 2009 as a result ofthe mother reportedly giving the sibling methadone. However, this was never reported tothe county agency. The grandmother, on her own, gained custody of the sibling due tothese concerns. The family was not known to the county agency prior to theinvestigation. There is a criminal investigation pending and no charges have been filed.","2011"
